delta,month,measure,quintile,ew_ret,vw_ret,n_obs
0.5,2025-12,STR,1,0.07038501949054013,-0.042158420934840346,29
0.5,2025-12,STR,2,0.001773023222504017,-0.03805072631745812,29
0.5,2025-12,STR,3,-0.008839227214401753,-0.005706940678929898,29
0.5,2025-12,STR,4,-0.0018427518472758345,-0.05961223112395575,29
0.5,2025-12,STR,5,-0.034914145840494404,-0.10623981033533547,29
0.5,2025-12,STV,1,-0.028769288470977636,-0.04779090435594674,29
0.5,2025-12,STV,2,-0.032628520539475875,-0.017102171631767134,29
0.5,2025-12,STV,3,0.08085004510774466,0.00497187086669887,29
0.5,2025-12,STV,4,0.03854671909374385,-0.025865931329628687,29
0.5,2025-12,STV,5,-0.03143703738016283,-0.03787543465855758,29
0.5,2026-01,STR,1,0.012127139823932346,-0.19096066745212173,30
0.5,2026-01,STR,2,0.011359062261363047,-0.1370802047433553,29
0.5,2026-01,STR,3,-0.044119595734477865,-0.15885687674928667,30
0.5,2026-01,STR,4,-0.07330885853827611,-0.14370624274748867,29
0.5,2026-01,STR,5,-0.02346881343406906,-0.11749720449935264,30
0.5,2026-01,STV,1,-0.10925975469169874,-0.1382681618163933,30
0.5,2026-01,STV,2,-0.08983872239847987,-0.04645806137197615,29
0.5,2026-01,STV,3,0.020088816773374953,-0.05082565958414812,30
0.5,2026-01,STV,4,0.06262637537718033,0.01036110675715487,29
0.5,2026-01,STV,5,0.00013013429328285382,-0.16055871636000082,30
0.5,2026-02,STR,1,-0.009616735811845124,0.019763486361041128,30
0.5,2026-02,STR,2,-0.008762236992522194,-0.0028933099952286917,29
0.5,2026-02,STR,3,-0.06471335088232201,-0.019802333911872756,30
0.5,2026-02,STR,4,-0.04491325987808279,-0.0451115355857366,29
0.5,2026-02,STR,5,0.048278628461015355,-0.03918523044062521,30
0.5,2026-02,STV,1,-0.06607343736143309,-0.01834222158606299,30
0.5,2026-02,STV,2,0.016892997855315003,0.009015473166617475,29
0.5,2026-02,STV,3,-0.0211686842606243,-0.02956745559360557,30
0.5,2026-02,STV,4,-0.00441255750480698,-0.0049815167900822115,29
0.5,2026-02,STV,5,-0.0027600759248369577,0.03502874913175429,30
0.5,2026-03,STR,1,0.20654134793652135,0.06394180103953555,30
0.5,2026-03,STR,2,0.14413686666286446,0.08830620763350037,30
0.5,2026-03,STR,3,0.049651440402147126,0.02436667494015543,29
0.5,2026-03,STR,4,0.3155939504234254,0.03857082446838689,30
0.5,2026-03,STR,5,0.20558441893642335,0.1090873734267328,30
0.5,2026-03,STV,1,-0.011568086487544245,0.032720729282263196,30
0.5,2026-03,STV,2,0.02032459651243194,0.01783237815190249,30
0.5,2026-03,STV,3,0.2563893282414191,0.04762473386304194,29
0.5,2026-03,STV,4,0.49987358985050373,0.13375464094414152,30
0.5,2026-03,STV,5,0.1633798591725469,0.09643452407386267,30
0.5,2026-04,STR,1,0.1676760746326951,-0.007744119133509067,30
0.5,2026-04,STR,2,0.0017618087257841271,-0.027497636968763218,30
0.5,2026-04,STR,3,0.00406858749270372,-0.012622733853990228,30
0.5,2026-04,STR,4,0.03920436741792233,-0.0006435711571941851,30
0.5,2026-04,STR,5,0.5413077282832022,0.1745455316499302,30
0.5,2026-04,STV,1,0.04984552833016289,-0.01135369586954584,30
0.5,2026-04,STV,2,0.4835045316507124,0.05147860367791597,30
0.5,2026-04,STV,3,0.13667923987148858,0.03214986552808961,30
0.5,2026-04,STV,4,0.09801120947323456,0.07341901907704303,30
0.5,2026-04,STV,5,-0.014021942773291067,-0.029266139599199163,30
0.5,2026-05,STR,1,-0.06446699396746482,-0.13597200903648643,30
0.5,2026-05,STR,2,-0.02356180963634436,-0.10405388086242118,30
0.5,2026-05,STR,3,-0.11561534373788747,-0.13830795069049037,30
0.5,2026-05,STR,4,-0.11769135896629448,-0.13858603863539518,30
0.5,2026-05,STR,5,0.16414166406004915,-0.08749713701115644,30
0.5,2026-05,STV,1,-0.10039349415072239,-0.10013641551538797,30
0.5,2026-05,STV,2,-0.056351781948920425,-0.10696944389584725,30
0.5,2026-05,STV,3,0.08272439289387647,-0.04852448630976007,30
0.5,2026-05,STV,4,-0.031759796137249455,-0.041129711405208894,30
0.5,2026-05,STV,5,-0.051413162904926105,-0.12306312458238591,30
0.7,2025-06,STR,1,0.3047716932865777,0.47998174060562865,25
0.7,2025-06,STR,2,0.07029591003653872,0.17303900001293085,24
0.7,2025-06,STR,3,0.0667975859051189,0.10531661535951192,24
0.7,2025-06,STR,4,0.19933785953642133,0.174943155695848,24
0.7,2025-06,STR,5,0.25281519904910627,0.18729470043420668,25
0.7,2025-06,STV,1,0.1208324079370128,0.22209245717848797,25
0.7,2025-06,STV,2,0.15567780501365439,0.12949535593419206,24
0.7,2025-06,STV,3,0.14834702266687042,0.11118865858054158,24
0.7,2025-06,STV,4,0.18189967652037883,0.10355625242060312,24
0.7,2025-06,STV,5,0.2932410616247595,0.3175593569526987,25
0.7,2025-07,STR,1,0.04245483995834096,0.060313293982868096,25
0.7,2025-07,STR,2,-0.007717445804201097,-0.05345206081579252,25
0.7,2025-07,STR,3,0.13916013644007674,0.20741457754421896,24
0.7,2025-07,STR,4,0.043549536797362565,0.09722551522919201,25
0.7,2025-07,STR,5,0.0085208514935404,0.02848700510230834,25
0.7,2025-07,STV,1,-0.0013249709646026852,0.09187194356591999,25
0.7,2025-07,STV,2,0.08113015761941425,0.12545601862619588,25
0.7,2025-07,STV,3,0.13798329833928816,0.29664802460059186,24
0.7,2025-07,STV,4,0.03897642243075839,0.03646703888964267,25
0.7,2025-07,STV,5,-0.030844062063770095,-0.054924197086777614,25
0.7,2025-08,STR,1,44.00319071018907,-0.012083292794179811,26
0.7,2025-08,STR,2,0.04346253303422043,0.0518406233527351,25
0.7,2025-08,STR,3,0.04274664649308537,-0.004263420093875685,25
0.7,2025-08,STR,4,0.022177996438034787,0.08320530366352379,25
0.7,2025-08,STR,5,0.10801134247811747,-0.019720079400587072,25
0.7,2025-08,STV,1,-0.021634187461935444,0.010143757450837754,26
0.7,2025-08,STV,2,0.1067952579847665,0.06618717271668373,25
0.7,2025-08,STV,3,-0.03321083411393721,-0.03787887302370268,25
