month,measure,quintile,ew_ret,vw_ret,n_stocks
2026-02,STV,1,-0.02970948857648843,-0.012639289568508922,10
2026-02,STV,2,-0.05714211808129466,-0.04240307257695057,10
2026-02,STV,3,0.03650716080739612,-0.007275045625367011,10
2026-02,STV,4,0.07246859687696083,-0.0029287471039957506,10
2026-02,STV,5,-0.030238010516298673,0.03080609504978247,10
2026-03,STR,1,0.034130244503425985,0.056820307411254246,10
2026-03,STR,2,0.014391605022647979,0.09019782816536295,10
2026-03,STR,3,-0.0026563321770341707,-0.0027074369878709384,10
2026-03,STR,4,-0.014393325887208142,0.000666518549638843,10
2026-03,STR,5,0.06273948339888544,0.06169337343989365,10
2026-03,STV,1,0.0034472335667513065,0.04231104497832372,10
2026-03,STV,2,0.009100548677864074,0.00934799888932658,10
2026-03,STV,3,0.04242256830376192,0.035255647802119615,10
2026-03,STV,4,-0.038601750677253896,-0.03528143948892055,10
2026-03,STV,5,0.0778430749895937,0.09720810340465105,10
2026-04,STR,1,0.14094469710087298,0.16922455155465463,10
2026-04,STR,2,0.07735133063383952,-0.06075745265497688,10
2026-04,STR,3,-0.00769388210747588,-0.02918724084599878,10
2026-04,STR,4,0.028227972920526513,0.011006648734727523,10
2026-04,STR,5,0.03348484403913095,-0.0018492188957097407,10
2026-04,STV,1,0.030922675850819748,-0.05583130070758262,10
2026-04,STV,2,0.12687377319770518,0.15504043907225873,10
2026-04,STV,3,0.04633503648829793,-0.005992015439653719,10
2026-04,STV,4,0.07103081090761985,0.10215428568134453,10
2026-04,STV,5,-0.0028473338575486064,-0.029346994614438616,10
2026-05,STR,1,-0.07998101145757995,-0.1422565426218231,10
2026-05,STR,2,-0.013463468407625846,-0.10394587000114389,10
2026-05,STR,3,-0.12239291935188401,-0.1367845179101619,10
2026-05,STR,4,-0.1255974950565592,-0.13877861606494088,10
2026-05,STR,5,-0.11097345661605143,-0.1448549725477681,10
2026-05,STV,1,-0.10524055531856975,-0.0952292778159252,10
2026-05,STV,2,-0.11680848918477589,-0.12875937293760809,10
2026-05,STV,3,-0.053021959195417634,-0.07204564867216658,10
2026-05,STV,4,-0.12292696976833233,-0.11341896985365864,10
2026-05,STV,5,-0.054410377422604815,-0.12300448166832606,10
